Feature,Index,Original Value,Imputed Value
Input Resistance,651,nan,1460.7101189089092
Maximum firing ,632,nan,2.2290887931806163
Maximum firing ,637,nan,2.4354552022603406
Rheobase,452,nan,30.522523422575023
EPSC freq,27,nan,0.46250754256933113
EPSC freq,49,nan,0.05891263592687679
EPSC freq,52,nan,-0.14252353128277206
EPSC freq,56,nan,0.9527428971077986
EPSC freq,57,nan,-0.003611902458125593
EPSC freq,60,nan,0.7497175061958733
EPSC freq,61,nan,0.289990348808583
EPSC freq,62,nan,0.5072384700234617
EPSC freq,64,nan,0.00639097717201087
EPSC freq,66,nan,0.25396687184156075
EPSC freq,73,nan,0.7168317104526843
EPSC freq,75,nan,0.9064977001950784
EPSC freq,76,nan,1.0540931560812763
EPSC freq,77,nan,-0.19528392164301367
EPSC freq,78,nan,0.011307228088269117
EPSC freq,81,nan,0.2526637803856292
EPSC freq,82,nan,0.5616444065208265
EPSC freq,89,nan,0.2401838498435248
EPSC freq,93,nan,0.3110776727046597
EPSC freq,94,nan,0.7008347496736654
EPSC freq,105,nan,1.0450606703082586
EPSC freq,106,nan,0.6844631040265371
EPSC freq,111,nan,0.4678250130107028
EPSC freq,113,nan,0.9804356642313788
EPSC freq,115,nan,0.43115026755194263
EPSC freq,116,nan,0.3614140429908125
EPSC freq,117,nan,0.3117203206565119
EPSC freq,128,nan,1.0835808322350067
EPSC freq,129,nan,0.5268786064084942
EPSC freq,163,nan,1.8263657500932369
EPSC freq,164,nan,0.9051487414810896
EPSC freq,169,nan,-0.5441165377938612
EPSC freq,171,nan,0.7906584023718092
EPSC freq,172,nan,0.18391257923398474
EPSC freq,173,nan,-0.4724220429338356
EPSC freq,174,nan,-0.9048525522900298
EPSC freq,183,nan,-0.1045089078413508
EPSC freq,192,nan,-0.03993102499039225
EPSC freq,310,nan,-0.36734901672520415
EPSC freq,366,nan,0.47260101874437777
EPSC freq,370,nan,0.3752580087770597
EPSC freq,390,nan,0.39148292782986005
EPSC freq,398,nan,0.9177004341325853
EPSC freq,439,nan,1.2151353764425594
EPSC freq,440,nan,0.8582326912186519
EPSC freq,456,nan,1.0834476491415765
EPSC freq,457,nan,1.0179243457645701
EPSC freq,458,nan,1.4822697296257585
EPSC freq,459,nan,1.2742695725285098
EPSC freq,461,nan,1.436011271654896
EPSC freq,462,nan,1.0627845950885955
EPSC freq,463,nan,1.551808350224034
EPSC freq,464,nan,1.1286193686286854
EPSC freq,473,nan,1.4167366369317036
EPSC freq,476,nan,1.8969448521688945
EPSC freq,478,nan,1.3781288891092038
EPSC freq,482,nan,1.295640717156774
EPSC freq,500,nan,1.203548741949168
EPSC freq,502,nan,2.2611066360369123
EPSC freq,503,nan,2.0159332377959904
EPSC freq,505,nan,1.8746927312860633
EPSC freq,506,nan,1.506670256527475
EPSC freq,507,nan,1.4206675104799849
EPSC freq,510,nan,1.5466394480376469
EPSC freq,513,nan,1.7995285561421253
EPSC freq,514,nan,2.4279247719718158
EPSC freq,518,nan,1.7333081753429251
EPSC freq,520,nan,1.1102037830373503
EPSC freq,542,nan,2.0027864928716013
EPSC freq,574,nan,1.6708197377327147
EPSC freq,578,nan,1.1113280887763564
EPSC freq,582,nan,1.4861269128126726
EPSC freq,593,nan,1.4181050293553978
EPSC freq,600,nan,1.741246017746637
EPSC freq,601,nan,1.1700345855804808
EPSC freq,602,nan,1.6429728220320228
EPSC freq,603,nan,1.4966564431540328
EPSC freq,630,nan,0.7669403763647932
EPSC freq,631,nan,0.1503175421690336
EPSC freq,637,nan,1.0584090669390673
EPSC freq,640,nan,1.1657087298270405
