Feature,Index,Original Value,Imputed Value
Input Resistance,651,nan,2077.246375431008
Maximum firing ,632,nan,4.416748530491747
Maximum firing ,637,nan,6.037398958750657
Rheobase,452,nan,32.55763185434747
EPSC freq,27,nan,4.250208467063401
EPSC freq,49,nan,0.5
EPSC freq,52,nan,0.5
EPSC freq,56,nan,0.9734451251002418
EPSC freq,57,nan,0.5
EPSC freq,60,nan,2.308929176437226
EPSC freq,61,nan,0.5
EPSC freq,62,nan,2.361772335829518
EPSC freq,64,nan,0.5
EPSC freq,66,nan,0.5
EPSC freq,73,nan,1.5550948922532575
EPSC freq,75,nan,1.7280212954663514
EPSC freq,76,nan,4.162375084130839
EPSC freq,77,nan,0.5
EPSC freq,78,nan,0.5
EPSC freq,81,nan,0.5
EPSC freq,82,nan,1.772446512701935
EPSC freq,89,nan,0.5
EPSC freq,93,nan,0.5
EPSC freq,94,nan,1.7268540069724965
EPSC freq,105,nan,1.8862345756203112
EPSC freq,106,nan,3.63406692450646
EPSC freq,111,nan,1.2173737459474834
EPSC freq,113,nan,3.2048433970468153
EPSC freq,115,nan,1.5673185329561163
EPSC freq,116,nan,0.5
EPSC freq,117,nan,0.5
EPSC freq,128,nan,2.8728455974038933
EPSC freq,129,nan,1.7490797341812825
EPSC freq,163,nan,0.6235436149946458
EPSC freq,164,nan,4.675192939085427
EPSC freq,169,nan,0.5
EPSC freq,171,nan,3.358385950450643
EPSC freq,172,nan,0.5
EPSC freq,173,nan,0.5
EPSC freq,174,nan,0.5
EPSC freq,183,nan,0.5
EPSC freq,192,nan,0.5
EPSC freq,310,nan,0.5
EPSC freq,366,nan,0.5
EPSC freq,370,nan,0.5
EPSC freq,390,nan,0.5
EPSC freq,398,nan,3.029052683416449
EPSC freq,439,nan,1.9182179669065431
EPSC freq,440,nan,1.9504203659320791
EPSC freq,456,nan,1.2534823600569474
EPSC freq,457,nan,2.54369166535259
EPSC freq,458,nan,2.979639845998693
EPSC freq,459,nan,1.9748283293331852
EPSC freq,461,nan,3.219351954677318
EPSC freq,462,nan,1.7319838216366916
EPSC freq,463,nan,2.1211707699578026
EPSC freq,464,nan,2.0329306885309775
EPSC freq,473,nan,1.6534954181300903
EPSC freq,476,nan,2.1856216570246403
EPSC freq,478,nan,4.644952911096077
EPSC freq,482,nan,0.8477257127333764
EPSC freq,500,nan,1.7552241269802056
EPSC freq,502,nan,3.924164641987627
EPSC freq,503,nan,1.2703062071132363
EPSC freq,505,nan,1.625853794248872
EPSC freq,506,nan,1.5223197686704224
EPSC freq,507,nan,1.0617586909652361
EPSC freq,510,nan,1.3624956214702306
EPSC freq,513,nan,2.080449968403972
EPSC freq,514,nan,1.1998081350973453
EPSC freq,518,nan,2.585486867081535
EPSC freq,520,nan,3.775697414825366
EPSC freq,542,nan,0.6451835024043244
EPSC freq,574,nan,2.543134658648622
EPSC freq,578,nan,2.133550527029742
EPSC freq,582,nan,1.0539684906288795
EPSC freq,593,nan,1.97249926605412
EPSC freq,600,nan,1.1854264320108887
EPSC freq,601,nan,4.842627223722369
EPSC freq,602,nan,1.2373652548071616
EPSC freq,603,nan,2.9536692138241305
EPSC freq,630,nan,1.9216497345590295
EPSC freq,631,nan,0.5
EPSC freq,637,nan,1.3972827743483682
EPSC freq,640,nan,1.9855155154605257
