Feature,Index,Original Value,Imputed Value
Input Resistance,651,nan,2553.1639241068096
Maximum firing ,632,nan,2.5753297590701925
Maximum firing ,637,nan,4.757341807623984
Rheobase,452,nan,7.864440769603501
EPSC freq,27,nan,3.20134062288124
EPSC freq,49,nan,0.5
EPSC freq,52,nan,0.5
EPSC freq,56,nan,1.939033258050601
EPSC freq,57,nan,0.5
EPSC freq,60,nan,0.7233054798708334
EPSC freq,61,nan,0.5
EPSC freq,62,nan,1.3898652217031153
EPSC freq,64,nan,0.5
EPSC freq,66,nan,0.5
EPSC freq,73,nan,0.9629506606696251
EPSC freq,75,nan,2.497070504854954
EPSC freq,76,nan,0.8687570199857629
EPSC freq,77,nan,0.5
EPSC freq,78,nan,0.5
EPSC freq,81,nan,0.5
EPSC freq,82,nan,1.1730466217946227
EPSC freq,89,nan,0.5
EPSC freq,93,nan,0.5
EPSC freq,94,nan,1.915224979113046
EPSC freq,105,nan,4.571766239688252
EPSC freq,106,nan,1.7535971667705983
EPSC freq,111,nan,0.8799079159586536
EPSC freq,113,nan,1.943990765153619
EPSC freq,115,nan,0.5
EPSC freq,116,nan,0.5
EPSC freq,117,nan,0.5
EPSC freq,128,nan,2.8254756634061433
EPSC freq,129,nan,0.9153481736549414
EPSC freq,163,nan,1.3536366468623915
EPSC freq,164,nan,0.8163718853448078
EPSC freq,169,nan,0.5
EPSC freq,171,nan,2.699498159931536
EPSC freq,172,nan,0.5
EPSC freq,173,nan,0.5
EPSC freq,174,nan,0.5
EPSC freq,183,nan,0.5
EPSC freq,192,nan,0.5
EPSC freq,310,nan,0.5
EPSC freq,366,nan,0.5
EPSC freq,370,nan,0.5
EPSC freq,390,nan,0.5
EPSC freq,398,nan,2.0015229562447265
EPSC freq,439,nan,3.245521579922492
EPSC freq,440,nan,3.572017419765839
EPSC freq,456,nan,0.7109534408632189
EPSC freq,457,nan,0.7846209665185588
EPSC freq,458,nan,2.5158280339853913
EPSC freq,459,nan,1.6067966906874271
EPSC freq,461,nan,1.3214012013826975
EPSC freq,462,nan,1.4919235630062553
EPSC freq,463,nan,1.7954678864023117
EPSC freq,464,nan,3.5255911785120158
EPSC freq,473,nan,1.007593015623537
EPSC freq,476,nan,0.5045236869899599
EPSC freq,478,nan,1.765134333449013
EPSC freq,482,nan,0.5950439236996408
EPSC freq,500,nan,2.1132262731352784
EPSC freq,502,nan,2.7915175922547766
EPSC freq,503,nan,2.4554977130513036
EPSC freq,505,nan,0.9975423391347001
EPSC freq,506,nan,2.317238121911113
EPSC freq,507,nan,1.1115051012514163
EPSC freq,510,nan,1.2112832438079766
EPSC freq,513,nan,2.885513623417497
EPSC freq,514,nan,5.318736579373005
EPSC freq,518,nan,3.5901932761001234
EPSC freq,520,nan,2.5779124782720144
EPSC freq,542,nan,3.7867432981012144
EPSC freq,574,nan,3.605272789559001
EPSC freq,578,nan,1.617235212665808
EPSC freq,582,nan,2.025832735561777
EPSC freq,593,nan,2.4579732633840785
EPSC freq,600,nan,3.802648169868912
EPSC freq,601,nan,0.7497355963653887
EPSC freq,602,nan,1.6922693430815665
EPSC freq,603,nan,0.6157225653550518
EPSC freq,630,nan,1.0464195888444938
EPSC freq,631,nan,0.5
EPSC freq,637,nan,3.713079191393861
EPSC freq,640,nan,3.9288322757663545
