Feature,Index,Original Value,Imputed Value
Input Resistance,651,nan,1553.8519473577412
Maximum firing ,632,nan,2.028447190704262
Maximum firing ,637,nan,3.4865244203036174
Rheobase,452,nan,26.017103498022085
EPSC freq,27,nan,1.016795390365754
EPSC freq,49,nan,0.5
EPSC freq,52,nan,0.5
EPSC freq,56,nan,1.3336659354695808
EPSC freq,57,nan,0.5
EPSC freq,60,nan,1.5282992813840008
EPSC freq,61,nan,0.5
EPSC freq,62,nan,2.7411318342789484
EPSC freq,64,nan,0.5
EPSC freq,66,nan,0.5
EPSC freq,73,nan,3.5368759861126997
EPSC freq,75,nan,2.937809201211914
EPSC freq,76,nan,1.8842527083336371
EPSC freq,77,nan,0.5
EPSC freq,78,nan,0.5
EPSC freq,81,nan,0.5
EPSC freq,82,nan,2.227350369160679
EPSC freq,89,nan,0.5
EPSC freq,93,nan,0.5
EPSC freq,94,nan,1.2550168286954926
EPSC freq,105,nan,1.685124128563281
EPSC freq,106,nan,3.614379282376565
EPSC freq,111,nan,1.232301152779407
EPSC freq,113,nan,0.9352659109479899
EPSC freq,115,nan,1.4876784338500533
EPSC freq,116,nan,0.5
EPSC freq,117,nan,0.5
EPSC freq,128,nan,2.3005908650176656
EPSC freq,129,nan,0.7622446245564921
EPSC freq,163,nan,1.0007337100738845
EPSC freq,164,nan,1.2614665472694253
EPSC freq,169,nan,0.5
EPSC freq,171,nan,3.369270225235455
EPSC freq,172,nan,0.5
EPSC freq,173,nan,0.5
EPSC freq,174,nan,0.5
EPSC freq,183,nan,0.5
EPSC freq,192,nan,0.5
EPSC freq,310,nan,0.5
EPSC freq,366,nan,0.5
EPSC freq,370,nan,0.5
EPSC freq,390,nan,0.5
EPSC freq,398,nan,2.216798910985017
EPSC freq,439,nan,1.1014150261704543
EPSC freq,440,nan,1.999245131288792
EPSC freq,456,nan,2.306409571622859
EPSC freq,457,nan,1.849490638154636
EPSC freq,458,nan,2.9529982869978184
EPSC freq,459,nan,0.5761691101426284
EPSC freq,461,nan,1.0896739343160222
EPSC freq,462,nan,4.2624020104150855
EPSC freq,463,nan,2.036887037890103
EPSC freq,464,nan,0.7044713603577483
EPSC freq,473,nan,1.4068459013032781
EPSC freq,476,nan,0.5078568836984183
EPSC freq,478,nan,2.2107741078252046
EPSC freq,482,nan,6.647179808860891
EPSC freq,500,nan,2.162055919088658
EPSC freq,502,nan,2.8645305050292627
EPSC freq,503,nan,1.7485002266725211
EPSC freq,505,nan,1.3915895550250994
EPSC freq,506,nan,2.0576467781799757
EPSC freq,507,nan,3.7357635583897038
EPSC freq,510,nan,0.5348854035379292
EPSC freq,513,nan,2.4399523927426823
EPSC freq,514,nan,2.3453762899694555
EPSC freq,518,nan,2.595007730741446
EPSC freq,520,nan,3.197082919157651
EPSC freq,542,nan,2.1057590207308863
EPSC freq,574,nan,1.1912934052796993
EPSC freq,578,nan,1.417464653070616
EPSC freq,582,nan,0.9453231465207538
EPSC freq,593,nan,0.7421895965026175
EPSC freq,600,nan,1.6855022605710233
EPSC freq,601,nan,2.1878485866232653
EPSC freq,602,nan,1.3297951755220527
EPSC freq,603,nan,3.8725427009711306
EPSC freq,630,nan,2.2006273145017117
EPSC freq,631,nan,0.5
EPSC freq,637,nan,2.4905255495133165
EPSC freq,640,nan,2.4936240310704045
