Feature,Index,Original Value,Imputed Value
Input Resistance,651,nan,1275.5255044127955
Maximum firing ,632,nan,5.58149273405693
Maximum firing ,637,nan,1.837307839588083
Rheobase,452,nan,26.821463609073774
EPSC freq,27,nan,3.8662421959907296
EPSC freq,49,nan,0.5
EPSC freq,52,nan,0.5
EPSC freq,56,nan,1.138575517882622
EPSC freq,57,nan,0.5
EPSC freq,60,nan,1.655994636647116
EPSC freq,61,nan,0.5
EPSC freq,62,nan,1.0236193797131983
EPSC freq,64,nan,0.5
EPSC freq,66,nan,0.5
EPSC freq,73,nan,1.6038856399362609
EPSC freq,75,nan,1.4804663732531578
EPSC freq,76,nan,1.4704601004720734
EPSC freq,77,nan,0.5
EPSC freq,78,nan,0.5
EPSC freq,81,nan,0.5
EPSC freq,82,nan,1.1346802093198587
EPSC freq,89,nan,0.5
EPSC freq,93,nan,0.5
EPSC freq,94,nan,0.5494849451413187
EPSC freq,105,nan,2.884482736463429
EPSC freq,106,nan,1.5271543901374494
EPSC freq,111,nan,1.028971793079221
EPSC freq,113,nan,0.9739730242938515
EPSC freq,115,nan,0.8128518312134472
EPSC freq,116,nan,0.5
EPSC freq,117,nan,0.5
EPSC freq,128,nan,4.011527447564483
EPSC freq,129,nan,1.861981882851293
EPSC freq,163,nan,1.488424236172639
EPSC freq,164,nan,1.1558847203193037
EPSC freq,169,nan,0.5
EPSC freq,171,nan,5.021559927073312
EPSC freq,172,nan,0.5
EPSC freq,173,nan,0.5
EPSC freq,174,nan,0.5
EPSC freq,183,nan,0.5
EPSC freq,192,nan,0.5
EPSC freq,310,nan,0.5
EPSC freq,366,nan,0.5
EPSC freq,370,nan,0.5
EPSC freq,390,nan,0.5
EPSC freq,398,nan,2.119817445149429
EPSC freq,439,nan,0.9476779524041961
EPSC freq,440,nan,2.7089957580434523
EPSC freq,456,nan,1.6330533377343637
EPSC freq,457,nan,2.30541365531767
EPSC freq,458,nan,2.297739603300082
EPSC freq,459,nan,0.9193208700017225
EPSC freq,461,nan,0.8886589090417685
EPSC freq,462,nan,2.6514438176737505
EPSC freq,463,nan,1.2696383369628896
EPSC freq,464,nan,2.510708292269162
EPSC freq,473,nan,0.5739536916228299
EPSC freq,476,nan,5.13737448596409
EPSC freq,478,nan,1.9630024462559725
EPSC freq,482,nan,1.6993304613519982
EPSC freq,500,nan,2.9550782741177604
EPSC freq,502,nan,2.158335176260763
EPSC freq,503,nan,2.9963354982755197
EPSC freq,505,nan,0.6058909105219004
EPSC freq,506,nan,3.9780013574649886
EPSC freq,507,nan,2.1313066552428754
EPSC freq,510,nan,2.8593770923920774
EPSC freq,513,nan,4.474486479188343
EPSC freq,514,nan,2.317272288206882
EPSC freq,518,nan,0.8994329000147936
EPSC freq,520,nan,0.5963984278592833
EPSC freq,542,nan,2.189493298136451
EPSC freq,574,nan,2.2606672355587083
EPSC freq,578,nan,1.3565543073613364
EPSC freq,582,nan,1.8920590990846058
EPSC freq,593,nan,0.8594439552998485
EPSC freq,600,nan,1.0395845677154063
EPSC freq,601,nan,3.525295393206104
EPSC freq,602,nan,1.0737142135413487
EPSC freq,603,nan,2.075631316111287
EPSC freq,630,nan,1.2278609435772263
EPSC freq,631,nan,0.5
EPSC freq,637,nan,3.9761628108229923
EPSC freq,640,nan,0.7721885553709458
