Feature,Index,Original Value,Imputed Value
Input Resistance,651,nan,1114.453589062668
Maximum firing ,632,nan,4.423320390343786
Maximum firing ,637,nan,1.666395220445913
Rheobase,452,nan,42.69838890508865
EPSC freq,27,nan,0.7063603113685016
EPSC freq,49,nan,0.5
EPSC freq,52,nan,0.5
EPSC freq,56,nan,1.0165161546046444
EPSC freq,57,nan,0.5
EPSC freq,60,nan,2.243226838026239
EPSC freq,61,nan,0.5
EPSC freq,62,nan,0.9321429691632905
EPSC freq,64,nan,0.5
EPSC freq,66,nan,0.5
EPSC freq,73,nan,1.1995190670172688
EPSC freq,75,nan,2.5750489603598012
EPSC freq,76,nan,2.9029288440564356
EPSC freq,77,nan,0.5
EPSC freq,78,nan,0.5
EPSC freq,81,nan,0.5
EPSC freq,82,nan,2.7476521329582475
EPSC freq,89,nan,0.5
EPSC freq,93,nan,0.5
EPSC freq,94,nan,2.6636223939717416
EPSC freq,105,nan,0.8405262268956204
EPSC freq,106,nan,2.772001682291867
EPSC freq,111,nan,0.7908171761253663
EPSC freq,113,nan,1.09381213183355
EPSC freq,115,nan,2.4762167535472828
EPSC freq,116,nan,0.5
EPSC freq,117,nan,0.5
EPSC freq,128,nan,1.3686194519651322
EPSC freq,129,nan,2.571273679137468
EPSC freq,163,nan,2.7099119615980984
EPSC freq,164,nan,1.8335736804568823
EPSC freq,169,nan,0.5
EPSC freq,171,nan,1.8580666813597237
EPSC freq,172,nan,0.5
EPSC freq,173,nan,0.5
EPSC freq,174,nan,0.5
EPSC freq,183,nan,0.5
EPSC freq,192,nan,0.5
EPSC freq,310,nan,0.5
EPSC freq,366,nan,0.5
EPSC freq,370,nan,0.5
EPSC freq,390,nan,0.5
EPSC freq,398,nan,2.270968897335213
EPSC freq,439,nan,4.732411689728957
EPSC freq,440,nan,4.063029354262064
EPSC freq,456,nan,0.9097473278650685
EPSC freq,457,nan,2.5753864520304464
EPSC freq,458,nan,3.7164273230843605
EPSC freq,459,nan,4.034213303931779
EPSC freq,461,nan,4.602424487015479
EPSC freq,462,nan,2.716017586613085
EPSC freq,463,nan,1.8461005434639377
EPSC freq,464,nan,2.452586902217965
EPSC freq,473,nan,2.7410853782957254
EPSC freq,476,nan,1.7765904386440463
EPSC freq,478,nan,2.4738705079081926
EPSC freq,482,nan,2.6123403682431614
EPSC freq,500,nan,1.068910882295738
EPSC freq,502,nan,2.625867496608352
EPSC freq,503,nan,3.790613345691563
EPSC freq,505,nan,2.8257142061918077
EPSC freq,506,nan,3.025293103768375
EPSC freq,507,nan,3.884104301827106
EPSC freq,510,nan,0.5330989524320398
EPSC freq,513,nan,1.3405316085278685
EPSC freq,514,nan,1.6155775040136096
EPSC freq,518,nan,3.1582927959638365
EPSC freq,520,nan,3.0741878754137275
EPSC freq,542,nan,2.4617682991041265
EPSC freq,574,nan,1.0072254345323746
EPSC freq,578,nan,1.2333557485815172
EPSC freq,582,nan,1.6825692758266664
EPSC freq,593,nan,3.468767597570641
EPSC freq,600,nan,2.4102892792357555
EPSC freq,601,nan,2.1358650938332744
EPSC freq,602,nan,1.0394405611671962
EPSC freq,603,nan,4.785108643855031
EPSC freq,630,nan,1.1816352900215847
EPSC freq,631,nan,0.5
EPSC freq,637,nan,2.7839153765375904
EPSC freq,640,nan,1.221484535653032
