Feature,Index,Original Value,Imputed Value
Input Resistance,651,nan,1432.9452867410089
Maximum firing ,632,nan,4.2333198991417476
Maximum firing ,637,nan,4.183818989641003
Rheobase,452,nan,41.07609276635762
EPSC freq,27,nan,0.9708377608128531
EPSC freq,49,nan,0.5
EPSC freq,52,nan,0.5
EPSC freq,56,nan,1.1041057828490208
EPSC freq,57,nan,0.5
EPSC freq,60,nan,0.7107741181360567
EPSC freq,61,nan,0.5
EPSC freq,62,nan,2.091296318974994
EPSC freq,64,nan,0.5
EPSC freq,66,nan,0.5
EPSC freq,73,nan,4.244164316686399
EPSC freq,75,nan,1.0244752800480166
EPSC freq,76,nan,0.853806903263408
EPSC freq,77,nan,0.5
EPSC freq,78,nan,0.5
EPSC freq,81,nan,0.5
EPSC freq,82,nan,1.0060485616012282
EPSC freq,89,nan,0.5
EPSC freq,93,nan,0.5
EPSC freq,94,nan,0.8401444526746127
EPSC freq,105,nan,3.7215452083100145
EPSC freq,106,nan,1.2135414727494507
EPSC freq,111,nan,1.1526247683340571
EPSC freq,113,nan,1.4983088258775326
EPSC freq,115,nan,2.993024547219211
EPSC freq,116,nan,0.5
EPSC freq,117,nan,0.5
EPSC freq,128,nan,5.123508896601049
EPSC freq,129,nan,1.9211758703536845
EPSC freq,163,nan,3.292774392249947
EPSC freq,164,nan,0.5822076837513042
EPSC freq,169,nan,0.5
EPSC freq,171,nan,2.7345608178543617
EPSC freq,172,nan,0.5
EPSC freq,173,nan,0.5
EPSC freq,174,nan,0.5
EPSC freq,183,nan,0.5
EPSC freq,192,nan,0.5
EPSC freq,310,nan,0.5
EPSC freq,366,nan,0.5
EPSC freq,370,nan,0.5
EPSC freq,390,nan,0.5
EPSC freq,398,nan,1.038239387468936
EPSC freq,439,nan,1.3461074856042863
EPSC freq,440,nan,2.709960582610231
EPSC freq,456,nan,0.5713148960510429
EPSC freq,457,nan,2.153976608338071
EPSC freq,458,nan,1.3942154309077721
EPSC freq,459,nan,3.7851796316481305
EPSC freq,461,nan,1.4289764732686938
EPSC freq,462,nan,1.0300761934717504
EPSC freq,463,nan,1.6319022848480618
EPSC freq,464,nan,2.0165075122591736
EPSC freq,473,nan,2.405016425083771
EPSC freq,476,nan,0.9228420271193644
EPSC freq,478,nan,2.893174416646698
EPSC freq,482,nan,1.7723536817885586
EPSC freq,500,nan,0.9588869162794361
EPSC freq,502,nan,2.5162263159072453
EPSC freq,503,nan,2.4729292354980457
EPSC freq,505,nan,2.8015494316255314
EPSC freq,506,nan,2.4047778171986147
EPSC freq,507,nan,1.85471129416323
EPSC freq,510,nan,1.3364287196477778
EPSC freq,513,nan,1.467832921130052
EPSC freq,514,nan,1.2033600518656618
EPSC freq,518,nan,3.8654596961298484
EPSC freq,520,nan,3.2644395495898304
EPSC freq,542,nan,2.2830535155411815
EPSC freq,574,nan,1.096251668478106
EPSC freq,578,nan,2.358134896109138
EPSC freq,582,nan,0.7802176213601757
EPSC freq,593,nan,4.286743309153204
EPSC freq,600,nan,0.6067163550951623
EPSC freq,601,nan,3.0938257611673037
EPSC freq,602,nan,1.7799929565916242
EPSC freq,603,nan,2.5448506289743698
EPSC freq,630,nan,2.1577539188142647
EPSC freq,631,nan,0.5
EPSC freq,637,nan,4.726386737419619
EPSC freq,640,nan,0.9170316780450645
